#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-6.91;86.7;5.33;2.6;0.0;0.0;0.0
2;2002;1;1;1;-8.20;86.9;4.67;352.8;0.0;0.0;0.0
3;2002;1;1;2;-9.62;87.2;4.00;340.0;0.0;0.0;0.0
4;2002;1;1;3;-11.55;87.9;3.54;336.0;0.0;0.0;0.0
5;2002;1;1;4;-13.67;88.5;3.00;330.0;0.0;0.0;0.0
6;2002;1;1;5;-15.98;89.0;2.38;320.0;0.0;0.0;0.0
7;2002;1;1;6;-18.40;87.5;1.96;310.6;0.0;0.0;0.0
8;2002;1;1;7;-21.01;85.5;1.50;295.0;0.0;0.0;0.0
9;2002;1;1;8;-23.80;83.0;1.00;270.0;0.0;0.0;0.0
10;2002;1;1;9;-25.50;84.3;1.33;220.0;0.0;0.0;0.0
11;2002;1;1;10;-23.90;85.7;1.67;184.4;8.1;8.1;0.0
12;2002;1;1;11;-22.30;87.0;2.00;170.0;21.9;21.9;0.0
13;2002;1;1;12;-19.63;86.7;2.33;165.7;30.8;29.0;18.4
14;2002;1;1;13;-16.97;86.3;2.67;162.5;28.3;26.7;14.2
15;2002;1;1;14;-14.30;86.0;3.00;160.0;17.2;15.1;21.7
16;2002;1;1;15;-13.33;88.0;4.00;145.0;7.8;7.8;0.0
17;2002;1;1;16;-12.37;90.0;5.00;135.9;1.9;1.9;0.0
18;2002;1;1;17;-11.40;92.0;6.00;130.0;0.0;0.0;0.0
19;2002;1;1;18;-10.95;92.0;6.33;122.7;0.0;0.0;0.0
20;2002;1;1;19;-10.50;92.0;6.67;116.0;0.0;0.0;0.0
21;2002;1;1;20;-10.80;92.0;7.00;110.0;0.0;0.0;0.0
22;2002;1;1;21;-10.50;91.7;7.00;103.4;0.0;0.0;0.0
23;2002;1;1;22;-10.70;91.3;7.00;96.6;0.0;0.0;0.0
24;2002;1;1;23;-10.90;91.0;7.00;90.0;0.0;0.0;0.0
25;2002;1;2;0;-11.17;90.3;6.33;82.2;0.0;0.0;0.0
26;2002;1;2;1;-11.43;89.7;5.67;72.3;0.0;0.0;0.0
27;2002;1;2;2;-11.70;89.0;5.00;60.0;0.0;0.0;0.0
28;2002;1;2;3;-13.17;88.7;5.00;53.4;0.0;0.0;0.0
29;2002;1;2;4;-14.63;88.3;5.00;46.6;0.0;0.0;0.0
30;2002;1;2;5;-16.10;88.0;5.00;40.0;0.0;0.0;0.0
31;2002;1;2;6;-17.27;87.7;4.33;37.7;0.0;0.0;0.0
32;2002;1;2;7;-18.43;87.3;3.67;34.5;0.0;0.0;0.0
33;2002;1;2;8;-19.60;87.0;3.00;30.0;0.0;0.0;0.0
34;2002;1;2;9;-20.30;86.3;2.67;25.0;0.0;0.0;0.0
35;2002;1;2;10;-21.00;85.7;2.33;18.6;8.3;8.3;0.0
36;2002;1;2;11;-21.70;85.0;2.00;10.0;39.7;39.7;0.0
37;2002;1;2;12;-21.17;84.7;2.00;3.4;78.3;25.4;500.4
38;2002;1;2;13;-20.63;84.3;2.00;356.6;94.4;28.7;542.1
39;2002;1;2;14;-20.10;84.0;2.00;350.0;80.3;25.1;500.7
40;2002;1;2;15;-21.23;83.7;1.67;336.7;43.1;43.1;0.0
41;2002;1;2;16;-22.37;83.3;1.33;310.0;10.3;10.3;0.0
42;2002;1;2;17;-23.50;83.0;1.00;270.0;0.0;0.0;0.0
43;2002;1;2;18;-24.27;82.3;1.00;263.4;0.0;0.0;0.0
44;2002;1;2;19;-25.03;81.7;1.00;256.6;0.0;0.0;0.0
45;2002;1;2;20;-25.80;81.0;1.00;250.0;0.0;0.0;0.0
