#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-3.55;88.8;5.29;0.1;0.0;0.0;0.0
2;2002;1;1;1;-4.60;89.0;4.64;349.7;0.0;0.0;0.0
3;2002;1;1;2;-5.79;88.8;3.99;336.3;0.0;0.0;0.0
4;2002;1;1;3;-7.45;88.6;3.54;331.6;0.0;0.0;0.0
5;2002;1;1;4;-9.17;88.2;3.03;324.5;0.0;0.0;0.0
6;2002;1;1;5;-11.16;87.5;2.43;313.1;0.0;0.0;0.0
7;2002;1;1;6;-13.21;86.7;2.06;303.1;0.0;0.0;0.0
8;2002;1;1;7;-15.34;85.6;1.65;287.5;0.0;0.0;0.0
9;2002;1;1;8;-17.70;84.2;1.22;265.1;0.0;0.0;0.0
10;2002;1;1;9;-19.10;83.0;1.54;224.1;0.0;0.0;0.0
11;2002;1;1;10;-17.80;84.1;1.78;191.7;7.8;7.8;0.0
12;2002;1;1;11;-16.40;85.2;2.05;177.0;21.0;21.0;0.0
13;2002;1;1;12;-14.20;87.1;2.35;171.9;29.5;29.0;5.1
14;2002;1;1;13;-12.00;89.0;2.67;168.0;27.1;26.7;3.6
15;2002;1;1;14;-9.70;89.9;2.98;164.9;16.5;15.1;14.2
16;2002;1;1;15;-8.90;91.7;3.90;148.7;7.5;7.5;0.0
17;2002;1;1;16;-8.10;92.4;4.84;138.7;1.8;1.8;0.0
18;2002;1;1;17;-7.30;93.2;5.80;132.3;0.0;0.0;0.0
19;2002;1;1;18;-6.90;93.5;6.10;124.7;0.0;0.0;0.0
20;2002;1;1;19;-6.50;93.8;6.41;117.7;0.0;0.0;0.0
21;2002;1;1;20;-6.80;93.6;6.71;111.5;0.0;0.0;0.0
22;2002;1;1;21;-6.50;93.8;6.69;104.7;0.0;0.0;0.0
23;2002;1;1;22;-6.70;93.7;6.67;97.8;0.0;0.0;0.0
24;2002;1;1;23;-6.90;93.5;6.66;90.9;0.0;0.0;0.0
25;2002;1;2;0;-7.10;93.3;5.99;82.9;0.0;0.0;0.0
26;2002;1;2;1;-7.30;93.1;5.33;72.6;0.0;0.0;0.0
27;2002;1;2;2;-7.50;92.7;4.67;59.7;0.0;0.0;0.0
28;2002;1;2;3;-8.80;91.8;4.67;52.7;0.0;0.0;0.0
29;2002;1;2;4;-10.00;90.7;4.68;45.6;0.0;0.0;0.0
30;2002;1;2;5;-11.20;89.7;4.69;38.6;0.0;0.0;0.0
31;2002;1;2;6;-12.20;88.8;4.04;36.0;0.0;0.0;0.0
32;2002;1;2;7;-13.20;88.0;3.40;32.3;0.0;0.0;0.0
33;2002;1;2;8;-14.20;87.1;2.75;26.9;0.0;0.0;0.0
34;2002;1;2;9;-14.80;86.6;2.44;21.1;0.0;0.0;0.0
35;2002;1;2;10;-15.40;86.1;2.13;13.5;7.9;7.9;0.0
36;2002;1;2;11;-15.90;85.7;1.84;3.4;38.0;38.0;0.0
37;2002;1;2;12;-15.50;86.0;1.87;356.4;75.0;25.4;469.0
