#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-10.70;86.5;3.34;310.0;0.0;0.0;0.0
2;2002;1;1;1;-12.99;86.0;3.14;310.0;0.0;0.0;0.0
3;2002;1;1;2;-15.52;85.4;3.00;310.0;0.0;0.0;0.0
4;2002;1;1;3;-16.50;84.8;2.54;314.2;0.0;0.0;0.0
5;2002;1;1;4;-17.42;84.1;2.00;321.9;0.0;0.0;0.0
6;2002;1;1;5;-18.26;83.2;1.38;340.0;0.0;0.0;0.0
7;2002;1;1;6;-21.56;80.7;0.96;340.0;0.0;0.0;0.0
8;2002;1;1;7;-25.12;77.9;0.50;340.0;0.0;0.0;0.0
9;2002;1;1;8;-28.90;75.0;0.00;0.0;0.0;0.0;0.0
10;2002;1;1;9;-30.70;76.7;1.00;150.0;0.0;0.0;0.0
11;2002;1;1;10;-27.15;78.3;2.00;150.0;2.8;2.8;0.0
12;2002;1;1;11;-23.60;80.0;3.00;150.0;13.9;13.9;0.0
13;2002;1;1;12;-25.03;80.7;2.33;150.0;30.6;30.6;0.0
14;2002;1;1;13;-26.47;81.3;1.67;150.0;30.6;30.6;0.0
15;2002;1;1;14;-27.90;82.0;1.00;150.0;22.2;22.2;0.0
16;2002;1;1;15;-25.70;82.0;1.33;135.0;9.4;9.4;0.0
17;2002;1;1;16;-23.50;82.0;1.67;125.9;1.4;1.4;0.0
18;2002;1;1;17;-21.30;82.0;2.00;120.0;0.0;0.0;0.0
19;2002;1;1;18;-22.90;79.7;1.33;120.0;0.0;0.0;0.0
20;2002;1;1;19;-24.50;77.3;0.67;120.0;0.0;0.0;0.0
21;2002;1;1;20;-26.10;75.0;0.00;0.0;0.0;0.0;0.0
22;2002;1;1;21;-24.37;77.3;0.33;80.0;0.0;0.0;0.0
23;2002;1;1;22;-22.63;79.7;0.67;80.0;0.0;0.0;0.0
24;2002;1;1;23;-20.90;82.0;1.00;80.0;0.0;0.0;0.0
25;2002;1;2;0;-22.07;81.3;1.33;20.0;0.0;0.0;0.0
26;2002;1;2;1;-23.23;80.7;1.67;333.9;0.0;0.0;0.0
27;2002;1;2;2;-24.40;80.0;2.00;320.0;0.0;0.0;0.0
28;2002;1;2;3;-24.50;79.3;2.00;320.0;0.0;0.0;0.0
29;2002;1;2;4;-24.60;78.7;2.00;320.0;0.0;0.0;0.0
30;2002;1;2;5;-24.70;78.0;2.00;320.0;0.0;0.0;0.0
31;2002;1;2;6;-25.57;76.7;1.67;316.0;0.0;0.0;0.0
32;2002;1;2;7;-26.43;75.3;1.33;310.0;0.0;0.0;0.0
33;2002;1;2;8;-27.30;74.0;1.00;300.0;0.0;0.0;0.0
34;2002;1;2;9;-27.47;74.3;1.00;303.3;0.0;0.0;0.0
35;2002;1;2;10;-27.63;74.7;1.00;306.7;2.8;2.8;0.0
36;2002;1;2;11;-27.80;75.0;1.00;310.0;15.0;15.0;0.0
37;2002;1;2;12;-28.70;77.0;0.67;310.0;34.7;34.7;0.0
38;2002;1;2;13;-29.60;79.0;0.33;310.0;48.1;48.1;0.0
39;2002;1;2;14;-28.20;81.0;0.00;0.0;32.8;32.8;0.0
40;2002;1;2;15;-27.37;79.7;0.33;150.0;12.2;12.2;0.0
41;2002;1;2;16;-26.53;78.3;0.67;150.0;2.2;2.2;0.0
42;2002;1;2;17;-25.70;77.0;1.00;150.0;0.0;0.0;0.0
43;2002;1;2;18;-25.33;77.7;1.00;153.3;0.0;0.0;0.0
44;2002;1;2;19;-24.97;78.3;1.00;156.7;0.0;0.0;0.0
45;2002;1;2;20;-24.60;79.0;1.00;160.0;0.0;0.0;0.0
46;2002;1;2;21;-24.60;80.7;1.00;156.7;0.0;0.0;0.0
47;2002;1;2;22;-21.50;82.3;1.00;153.3;0.0;0.0;0.0
48;2002;1;2;23;-18.40;84.0;1.00;150.0;0.0;0.0;0.0
49;2002;1;3;0;-19.37;84.0;1.33;155.0;0.0;0.0;0.0
50;2002;1;3;1;-20.33;84.0;1.67;158.0;0.0;0.0;0.0
51;2002;1;3;2;-21.30;84.0;2.00;160.0;0.0;0.0;0.0
52;2002;1;3;3;-19.07;85.0;1.67;164.0;0.0;0.0;0.0
53;2002;1;3;4;-16.83;86.0;1.33;170.0;0.0;0.0;0.0
54;2002;1;3;5;-14.60;87.0;1.00;180.0;0.0;0.0;0.0
55;2002;1;3;6;-13.03;88.0;2.33;216.3;0.0;0.0;0.0
56;2002;1;3;7;-11.47;89.0;3.67;225.9;0.0;0.0;0.0
57;2002;1;3;8;-9.90;90.0;5.00;230.0;0.0;0.0;0.0
58;2002;1;3;9;-9.53;90.3;4.00;230.0;0.0;0.0;0.0
59;2002;1;3;10;-9.17;90.7;3.00;230.0;2.8;2.8;0.0
60;2002;1;3;11;-8.80;91.0;2.00;230.0;11.1;11.1;0.0
61;2002;1;3;12;-7.30;93.3;2.33;230.0;15.3;15.3;0.0
62;2002;1;3;13;-5.80;95.7;2.67;230.0;16.4;16.4;0.0
63;2002;1;3;14;-4.30;98.0;3.00;230.0;14.7;14.7;0.0
64;2002;1;3;15;-4.87;96.3;3.00;230.0;6.9;6.9;0.0
65;2002;1;3;16;-5.43;94.7;3.00;230.0;1.1;1.1;0.0
66;2002;1;3;17;-6.00;93.0;3.00;230.0;0.0;0.0;0.0
67;2002;1;3;18;-4.67;93.0;3.67;239.1;0.0;0.0;0.0
68;2002;1;3;19;-3.33;93.0;4.33;245.4;0.0;0.0;0.0
69;2002;1;3;20;-2.00;93.0;5.00;250.0;0.0;0.0;0.0
70;2002;1;3;21;-2.17;94.0;4.67;250.0;0.0;0.0;0.0
71;2002;1;3;22;-2.33;95.0;4.33;250.0;0.0;0.0;0.0
72;2002;1;3;23;-2.50;96.0;4.00;250.0;0.0;0.0;0.0
73;2002;1;4;0;-1.57;96.3;4.00;266.2;0.0;0.0;0.0
74;2002;1;4;1;-0.63;96.7;4.00;283.8;0.0;0.0;0.0
75;2002;1;4;2;0.30;97.0;4.00;300.0;0.0;0.0;0.0
76;2002;1;4;3;0.10;97.3;3.33;296.0;0.0;0.0;0.0
77;2002;1;4;4;-0.10;97.7;2.67;290.0;0.0;0.0;0.0
78;2002;1;4;5;-0.30;98.0;2.00;280.0;0.0;0.0;0.0
79;2002;1;4;6;-0.10;97.0;2.67;285.0;0.0;0.0;0.0
80;2002;1;4;7;0.10;96.0;3.33;288.0;0.0;0.0;0.0
81;2002;1;4;8;0.30;95.0;4.00;290.0;0.0;0.0;0.0
82;2002;1;4;9;0.13;96.0;3.67;290.0;0.0;0.0;0.0
83;2002;1;4;10;-0.03;97.0;3.33;290.0;11.7;11.7;0.0
84;2002;1;4;11;-0.20;98.0;3.00;290.0;29.4;29.4;0.0
85;2002;1;4;12;-0.03;98.3;3.00;286.7;25.6;25.6;0.0
86;2002;1;4;13;0.13;98.7;3.00;283.3;21.7;21.4;3.0
87;2002;1;4;14;0.30;99.0;3.00;280.0;18.9;18.9;0.0
88;2002;1;4;15;0.17;98.7;3.00;276.7;9.7;9.7;0.0
89;2002;1;4;16;0.03;98.3;3.00;273.3;2.2;2.2;0.0
90;2002;1;4;17;-0.10;98.0;3.00;270.0;0.0;0.0;0.0
91;2002;1;4;18;0.65;97.3;3.00;279.9;0.0;0.0;0.0
92;2002;1;4;19;1.40;96.7;3.00;290.1;0.0;0.0;0.0
93;2002;1;4;20;1.20;96.0;3.00;300.0;0.0;0.0;0.0
94;2002;1;4;21;1.40;96.7;2.67;300.0;0.0;0.0;0.0
95;2002;1;4;22;0.75;97.3;2.33;300.0;0.0;0.0;0.0
96;2002;1;4;23;0.10;98.0;2.00;300.0;0.0;0.0;0.0
97;2002;1;5;0;0.00;98.0;2.33;308.6;0.0;0.0;0.0
98;2002;1;5;1;-0.10;98.0;2.67;315.0;0.0;0.0;0.0
99;2002;1;5;2;-0.20;98.0;3.00;320.0;0.0;0.0;0.0
