#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-7.70;88.4;3.38;308.9;0.0;0.0;0.0
2;2002;1;1;1;-9.76;87.6;3.19;308.9;0.0;0.0;0.0
3;2002;1;1;2;-12.05;86.4;3.04;308.9;0.0;0.0;0.0
4;2002;1;1;3;-12.91;86.3;2.57;312.7;0.0;0.0;0.0
5;2002;1;1;4;-13.75;86.1;2.02;319.9;0.0;0.0;0.0
6;2002;1;1;5;-14.46;85.9;1.37;336.7;0.0;0.0;0.0
7;2002;1;1;6;-17.42;83.8;0.95;335.1;0.0;0.0;0.0
8;2002;1;1;7;-20.70;81.3;0.48;329.8;0.0;0.0;0.0
9;2002;1;1;8;-24.10;78.6;0.06;229.1;0.0;0.0;0.0
10;2002;1;1;9;-25.70;77.9;1.02;153.3;0.0;0.0;0.0
11;2002;1;1;10;-22.50;80.4;2.02;151.7;2.7;2.7;0.0
12;2002;1;1;11;-19.30;82.9;3.02;151.1;13.3;13.3;0.0
13;2002;1;1;12;-20.60;81.9;2.35;151.4;29.2;29.2;0.0
14;2002;1;1;13;-21.90;80.9;1.69;152.0;29.2;29.2;0.0
15;2002;1;1;14;-23.20;79.8;1.02;153.3;21.2;21.2;0.0
16;2002;1;1;15;-21.20;81.4;1.33;137.6;9.0;9.0;0.0
17;2002;1;1;16;-19.20;83.0;1.66;127.9;1.3;1.3;0.0
18;2002;1;1;17;-17.20;84.6;1.99;121.6;0.0;0.0;0.0
19;2002;1;1;18;-18.70;83.0;1.32;122.5;0.0;0.0;0.0
20;2002;1;1;19;-20.10;80.8;0.66;124.9;0.0;0.0;0.0
21;2002;1;1;20;-21.50;78.5;0.06;229.1;0.0;0.0;0.0
22;2002;1;1;21;-20.00;80.8;0.28;86.3;0.0;0.0;0.0
23;2002;1;1;22;-18.40;83.0;0.62;82.8;0.0;0.0;0.0
24;2002;1;1;23;-16.90;84.9;0.95;81.8;0.0;0.0;0.0
25;2002;1;2;0;-17.90;84.0;1.28;18.7;0.0;0.0;0.0
26;2002;1;2;1;-19.00;83.2;1.66;331.9;0.0;0.0;0.0
27;2002;1;2;2;-20.00;82.3;2.01;318.3;0.0;0.0;0.0
28;2002;1;2;3;-20.10;82.3;2.01;318.3;0.0;0.0;0.0
29;2002;1;2;4;-20.20;82.1;2.01;318.3;0.0;0.0;0.0
30;2002;1;2;5;-20.30;81.5;2.01;318.3;0.0;0.0;0.0
31;2002;1;2;6;-21.10;80.2;1.68;314.0;0.0;0.0;0.0
32;2002;1;2;7;-21.80;78.9;1.35;307.5;0.0;0.0;0.0
33;2002;1;2;8;-22.60;77.6;1.02;296.8;0.0;0.0;0.0
34;2002;1;2;9;-22.80;77.9;1.02;300.1;0.0;0.0;0.0
35;2002;1;2;10;-22.90;78.3;1.02;303.4;2.7;2.7;0.0
36;2002;1;2;11;-23.10;78.6;1.01;306.7;14.3;14.3;0.0
37;2002;1;2;12;-23.90;79.3;0.68;305.1;33.1;33.1;0.0
38;2002;1;2;13;-24.70;78.7;0.35;300.2;45.9;45.9;0.0
39;2002;1;2;14;-23.40;79.6;0.06;229.1;31.3;31.3;0.0
40;2002;1;2;15;-22.70;80.2;0.35;159.7;11.7;11.7;0.0
41;2002;1;2;16;-21.90;80.8;0.69;154.9;2.1;2.1;0.0
42;2002;1;2;17;-21.20;80.5;1.02;153.3;0.0;0.0;0.0
43;2002;1;2;18;-20.90;81.2;1.02;156.6;0.0;0.0;0.0
44;2002;1;2;19;-20.50;81.8;1.02;159.9;0.0;0.0;0.0
45;2002;1;2;20;-20.20;82.2;1.03;163.1;0.0;0.0;0.0
46;2002;1;2;21;-20.20;82.2;1.02;159.9;0.0;0.0;0.0
47;2002;1;2;22;-17.40;84.4;1.02;156.6;0.0;0.0;0.0
48;2002;1;2;23;-14.60;86.8;1.02;153.3;0.0;0.0;0.0
49;2002;1;3;0;-15.50;86.0;1.35;157.4;0.0;0.0;0.0
50;2002;1;3;1;-16.40;85.3;1.70;159.9;0.0;0.0;0.0
51;2002;1;3;2;-17.20;84.6;2.03;161.6;0.0;0.0;0.0
52;2002;1;3;3;-15.20;86.3;1.70;165.8;0.0;0.0;0.0
53;2002;1;3;4;-13.20;88.0;1.37;172.2;0.0;0.0;0.0
54;2002;1;3;5;-11.20;89.7;1.04;182.5;0.0;0.0;0.0
55;2002;1;3;6;-9.80;90.8;2.40;216.6;0.0;0.0;0.0
56;2002;1;3;7;-8.40;91.7;3.74;225.9;0.0;0.0;0.0
57;2002;1;3;8;-7.00;92.7;5.08;230.0;0.0;0.0;0.0
58;2002;1;3;9;-6.60;93.0;4.07;230.0;0.0;0.0;0.0
59;2002;1;3;10;-6.30;93.3;3.07;230.0;2.7;2.7;0.0
60;2002;1;3;11;-6.00;93.6;2.07;230.0;10.6;10.6;0.0
61;2002;1;3;12;-4.60;95.6;2.40;230.0;14.6;14.6;0.0
62;2002;1;3;13;-3.30;96.9;2.74;230.0;15.7;15.7;0.0
63;2002;1;3;14;-1.90;98.1;3.07;230.0;14.0;14.0;0.0
64;2002;1;3;15;-2.40;97.7;3.07;230.0;6.6;6.6;0.0
65;2002;1;3;16;-2.90;97.0;3.07;230.0;1.1;1.1;0.0
66;2002;1;3;17;-3.50;95.4;3.07;230.0;0.0;0.0;0.0
67;2002;1;3;18;-2.30;95.4;3.74;238.9;0.0;0.0;0.0
68;2002;1;3;19;-1.10;95.3;4.40;245.2;0.0;0.0;0.0
69;2002;1;3;20;0.10;95.1;5.07;249.8;0.0;0.0;0.0
70;2002;1;3;21;0.00;96.2;4.74;249.7;0.0;0.0;0.0
71;2002;1;3;22;-0.20;97.2;4.40;249.7;0.0;0.0;0.0
72;2002;1;3;23;-0.30;98.2;4.07;249.7;0.0;0.0;0.0
73;2002;1;4;0;0.50;97.9;4.06;265.7;0.0;0.0;0.0
74;2002;1;4;1;1.40;97.4;4.05;283.1;0.0;0.0;0.0
75;2002;1;4;2;2.20;97.2;4.04;299.2;0.0;0.0;0.0
76;2002;1;4;3;2.00;97.5;3.37;295.1;0.0;0.0;0.0
77;2002;1;4;4;1.90;97.9;2.71;288.9;0.0;0.0;0.0
78;2002;1;4;5;1.70;98.4;2.05;278.7;0.0;0.0;0.0
79;2002;1;4;6;1.90;97.3;2.71;284.0;0.0;0.0;0.0
80;2002;1;4;7;2.00;96.3;3.37;287.1;0.0;0.0;0.0
81;2002;1;4;8;2.20;95.3;4.04;289.3;0.0;0.0;0.0
82;2002;1;4;9;2.10;96.3;3.71;289.2;0.0;0.0;0.0
83;2002;1;4;10;1.90;97.2;3.37;289.1;11.2;11.2;0.0
84;2002;1;4;11;1.80;98.3;3.04;289.0;28.1;28.1;0.0
85;2002;1;4;12;1.90;98.5;3.04;285.7;24.5;24.5;0.0
86;2002;1;4;13;2.10;98.8;3.05;282.4;20.7;20.7;0.0
87;2002;1;4;14;2.20;99.1;3.05;279.1;18.1;18.1;0.0
88;2002;1;4;15;2.10;98.8;3.05;275.8;9.3;9.3;0.0
89;2002;1;4;16;2.00;98.4;3.05;272.5;2.1;2.1;0.0
90;2002;1;4;17;1.90;98.2;3.06;269.3;0.0;0.0;0.0
91;2002;1;4;18;2.50;97.5;3.05;279.0;0.0;0.0;0.0
92;2002;1;4;19;3.20;96.9;3.04;289.1;0.0;0.0;0.0
93;2002;1;4;20;3.00;96.3;3.03;298.9;0.0;0.0;0.0
94;2002;1;4;21;3.20;96.9;2.70;298.8;0.0;0.0;0.0
95;2002;1;4;22;2.60;97.5;2.36;298.6;0.0;0.0;0.0
96;2002;1;4;23;2.00;98.1;2.03;298.4;0.0;0.0;0.0
97;2002;1;5;0;1.90;98.1;2.35;307.1;0.0;0.0;0.0
