#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;1998;1;1;0;-7.70;86.7;3.16;160.0;0.0;0.0;0.0
2;1998;1;1;1;-8.38;87.2;3.04;160.0;0.0;0.0;0.0
3;1998;1;1;2;-8.98;87.8;2.88;160.0;0.0;0.0;0.0
4;1998;1;1;3;-9.38;88.5;2.46;153.4;0.0;0.0;0.0
5;1998;1;1;4;-9.68;89.2;2.08;146.6;0.0;0.0;0.0
6;1998;1;1;5;-9.88;89.6;1.75;140.0;0.0;0.0;0.0
7;1998;1;1;6;-10.07;90.0;1.50;149.9;0.0;0.0;0.0
8;1998;1;1;7;-10.15;90.5;1.25;160.1;0.0;0.0;0.0
9;1998;1;1;8;-10.10;91.0;1.00;170.0;0.0;0.0;0.0
10;1998;1;1;9;-9.90;91.3;1.00;163.4;0.0;0.0;0.0
11;1998;1;1;10;-9.70;91.7;1.00;156.6;0.0;0.0;0.0
12;1998;1;1;11;-9.50;92.0;1.00;150.0;0.0;0.0;0.0
13;1998;1;1;12;-9.10;92.0;1.33;175.0;0.0;0.0;0.0
14;1998;1;1;13;-8.70;92.0;1.67;190.6;1.9;1.9;0.0
15;1998;1;1;14;-8.90;92.0;2.00;200.0;0.8;0.8;0.0
16;1998;1;1;15;-9.13;91.7;2.00;186.9;0.0;0.0;0.0
17;1998;1;1;16;-9.37;91.3;2.00;173.1;0.0;0.0;0.0
18;1998;1;1;17;-9.60;91.0;2.00;160.0;0.0;0.0;0.0
19;1998;1;1;18;-10.13;91.0;2.00;156.7;0.0;0.0;0.0
20;1998;1;1;19;-10.67;91.0;2.00;153.3;0.0;0.0;0.0
21;1998;1;1;20;-11.20;91.0;2.00;150.0;0.0;0.0;0.0
22;1998;1;1;21;-11.87;90.3;2.00;150.0;0.0;0.0;0.0
23;1998;1;1;22;-12.53;89.7;2.00;150.0;0.0;0.0;0.0
24;1998;1;1;23;-13.20;89.0;2.00;150.0;0.0;0.0;0.0
