#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;1998;1;1;0;-1.55;90.8;3.19;164.5;0.0;0.0;0.0
2;1998;1;1;1;-2.06;91.5;3.07;164.5;0.0;0.0;0.0
3;1998;1;1;2;-2.55;92.2;2.90;164.5;0.0;0.0;0.0
4;1998;1;1;3;-2.81;93.3;2.48;158.1;0.0;0.0;0.0
5;1998;1;1;4;-3.10;94.3;2.10;151.6;0.0;0.0;0.0
6;1998;1;1;5;-3.23;95.2;1.76;145.0;0.0;0.0;0.0
7;1998;1;1;6;-3.38;95.8;1.52;154.7;0.0;0.0;0.0
8;1998;1;1;7;-3.43;96.3;1.28;164.6;0.0;0.0;0.0
9;1998;1;1;8;-3.40;96.8;1.04;174.0;0.0;0.0;0.0
10;1998;1;1;9;-3.20;96.9;1.03;167.7;0.0;0.0;0.0
11;1998;1;1;10;-3.10;97.1;1.02;161.3;0.0;0.0;0.0
12;1998;1;1;11;-2.90;97.2;1.02;154.8;0.0;0.0;0.0
13;1998;1;1;12;-2.60;97.5;1.37;177.9;0.0;0.0;0.0
14;1998;1;1;13;-2.30;97.8;1.73;192.3;1.6;1.6;0.0
15;1998;1;1;14;-2.50;97.6;2.06;201.1;0.7;0.7;0.0
16;1998;1;1;15;-2.60;97.5;2.05;188.5;0.0;0.0;0.0
17;1998;1;1;16;-2.80;97.3;2.03;175.1;0.0;0.0;0.0
18;1998;1;1;17;-3.00;97.0;2.02;162.3;0.0;0.0;0.0
19;1998;1;1;18;-3.40;96.8;2.01;159.0;0.0;0.0;0.0
20;1998;1;1;19;-3.80;96.4;2.01;155.7;0.0;0.0;0.0
21;1998;1;1;20;-4.20;96.0;2.00;152.4;0.0;0.0;0.0
22;1998;1;1;21;-4.70;95.5;2.00;152.4;0.0;0.0;0.0
23;1998;1;1;22;-5.20;95.1;2.00;152.4;0.0;0.0;0.0
24;1998;1;1;23;-5.70;94.6;2.00;152.4;0.0;0.0;0.0
25;1998;1;2;0;-6.40;94.0;1.68;156.8;0.0;0.0;0.0
26;1998;1;2;1;-7.10;93.3;1.36;163.4;0.0;0.0;0.0
27;1998;1;2;2;-7.80;92.7;1.04;174.0;0.0;0.0;0.0
28;1998;1;2;3;-8.40;92.2;1.03;167.7;0.0;0.0;0.0
29;1998;1;2;4;-9.00;91.6;1.02;161.3;0.0;0.0;0.0
30;1998;1;2;5;-9.60;91.1;1.02;154.8;0.0;0.0;0.0
31;1998;1;2;6;-9.80;91.0;1.33;148.7;0.0;0.0;0.0
32;1998;1;2;7;-9.20;91.5;1.67;145.0;0.0;0.0;0.0
33;1998;1;2;8;-8.60;92.0;1.99;142.5;0.0;0.0;0.0
34;1998;1;2;9;-8.50;92.1;1.99;145.8;0.0;0.0;0.0
35;1998;1;2;10;-8.30;92.3;2.00;149.2;0.0;0.0;0.0
36;1998;1;2;11;-8.10;92.4;2.00;152.4;0.0;0.0;0.0
37;1998;1;2;12;-7.10;93.3;2.32;147.9;1.5;1.5;0.0
38;1998;1;2;13;-6.10;94.3;2.66;144.4;2.9;2.9;0.0
39;1998;1;2;14;-5.10;95.2;2.98;141.7;1.0;1.0;0.0
40;1998;1;2;15;-4.70;95.4;2.98;141.7;0.0;0.0;0.0
41;1998;1;2;16;-4.40;95.4;2.98;141.7;0.0;0.0;0.0
42;1998;1;2;17;-4.00;95.3;2.98;141.7;0.0;0.0;0.0
43;1998;1;2;18;-3.80;95.6;2.65;141.9;0.0;0.0;0.0
44;1998;1;2;19;-3.70;95.9;2.32;142.2;0.0;0.0;0.0
45;1998;1;2;20;-3.50;96.2;1.99;142.5;0.0;0.0;0.0
46;1998;1;2;21;-3.40;96.2;2.32;146.4;0.0;0.0;0.0
47;1998;1;2;22;-3.30;96.1;2.66;149.4;0.0;0.0;0.0
48;1998;1;2;23;-3.20;96.1;2.99;151.6;0.0;0.0;0.0
49;1998;1;3;0;-3.10;96.4;2.67;156.7;0.0;0.0;0.0
50;1998;1;3;1;-3.10;96.7;2.35;163.4;0.0;0.0;0.0
51;1998;1;3;2;-3.10;97.0;2.03;172.1;0.0;0.0;0.0
52;1998;1;3;3;-3.30;96.8;2.02;162.4;0.0;0.0;0.0
53;1998;1;3;4;-3.50;96.5;2.00;152.3;0.0;0.0;0.0
54;1998;1;3;5;-3.70;96.2;1.99;142.5;0.0;0.0;0.0
55;1998;1;3;6;-3.70;96.2;1.98;139.2;0.0;0.0;0.0
56;1998;1;3;7;-3.80;96.2;1.98;135.9;0.0;0.0;0.0
57;1998;1;3;8;-3.80;96.2;1.97;132.5;0.0;0.0;0.0
58;1998;1;3;9;-3.70;96.2;1.97;132.5;0.0;0.0;0.0
59;1998;1;3;10;-3.60;96.2;1.97;132.5;0.0;0.0;0.0
60;1998;1;3;11;-3.50;96.2;1.97;132.5;0.0;0.0;0.0
61;1998;1;3;12;-3.30;96.5;1.97;132.5;0.0;0.0;0.0
62;1998;1;3;13;-3.10;96.7;1.97;132.5;1.6;1.6;0.0
63;1998;1;3;14;-2.90;97.0;1.97;132.5;0.7;0.7;0.0
64;1998;1;3;15;-2.80;97.0;2.30;132.2;0.0;0.0;0.0
65;1998;1;3;16;-2.70;97.0;2.64;131.9;0.0;0.0;0.0
66;1998;1;3;17;-2.60;97.0;2.96;131.7;0.0;0.0;0.0
67;1998;1;3;18;-2.20;96.9;2.63;129.4;0.0;0.0;0.0
68;1998;1;3;19;-1.80;96.8;2.29;126.4;0.0;0.0;0.0
69;1998;1;3;20;-2.10;96.9;1.96;122.5;0.0;0.0;0.0
70;1998;1;3;21;-2.10;97.2;1.96;125.8;0.0;0.0;0.0
71;1998;1;3;22;-1.90;97.5;1.97;129.2;0.0;0.0;0.0
72;1998;1;3;23;-1.70;97.7;1.97;132.5;0.0;0.0;0.0
73;1998;1;4;0;-1.60;98.1;1.97;132.5;0.0;0.0;0.0
74;1998;1;4;1;-1.60;98.4;1.97;132.5;0.0;0.0;0.0
75;1998;1;4;2;-1.60;98.5;1.97;132.5;0.0;0.0;0.0
76;1998;1;4;3;-1.50;98.5;1.64;131.0;0.0;0.0;0.0
77;1998;1;4;4;-1.50;98.6;1.30;128.8;0.0;0.0;0.0
78;1998;1;4;5;-1.40;98.6;0.97;125.0;0.0;0.0;0.0
79;1998;1;4;6;-1.40;98.6;0.95;111.6;0.0;0.0;0.0
80;1998;1;4;7;-1.50;98.6;0.93;97.1;0.0;0.0;0.0
81;1998;1;4;8;-1.50;98.6;0.92;83.1;0.0;0.0;0.0
82;1998;1;4;9;-1.40;98.6;0.92;83.1;0.0;0.0;0.0
83;1998;1;4;10;-1.40;98.6;0.92;83.1;0.0;0.0;0.0
84;1998;1;4;11;-1.40;98.6;0.92;83.1;0.0;0.0;0.0
85;1998;1;4;12;-1.30;98.6;0.59;84.8;1.6;1.6;0.0
86;1998;1;4;13;-1.20;98.6;0.26;91.0;2.4;2.4;0.0
87;1998;1;4;14;-1.10;98.6;0.09;225.9;0.7;0.7;0.0
