#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-6.15;82.3;4.50;4.3;0.0;0.0;0.0
2;2002;1;1;1;-7.03;82.5;4.04;357.7;0.0;0.0;0.0
3;2002;1;1;2;-7.94;82.8;3.62;350.0;0.0;0.0;0.0
4;2002;1;1;3;-9.52;83.2;3.54;346.0;0.0;0.0;0.0
5;2002;1;1;4;-11.31;83.7;3.25;340.0;0.0;0.0;0.0
6;2002;1;1;5;-13.30;84.2;2.75;330.0;0.0;0.0;0.0
7;2002;1;1;6;-15.08;83.7;2.38;326.7;0.0;0.0;0.0
8;2002;1;1;7;-16.98;83.0;2.12;323.3;0.0;0.0;0.0
9;2002;1;1;8;-19.00;82.0;2.00;320.0;0.0;0.0;0.0
10;2002;1;1;9;-19.95;81.3;1.67;323.3;0.0;0.0;0.0
11;2002;1;1;10;-20.90;80.7;1.33;45.0;9.4;9.4;0.0
12;2002;1;1;11;-20.50;80.0;1.00;130.0;47.8;47.8;0.0
13;2002;1;1;12;-19.03;80.7;1.33;110.0;62.5;49.8;119.6
14;2002;1;1;13;-17.57;81.3;1.67;97.7;51.9;50.9;8.4
15;2002;1;1;14;-16.10;82.0;2.00;90.0;34.2;34.1;1.0
16;2002;1;1;15;-14.97;82.7;2.00;90.0;13.9;13.9;0.0
17;2002;1;1;16;-13.83;83.3;2.00;90.0;2.5;2.5;0.0
18;2002;1;1;17;-12.70;84.0;2.00;90.0;0.0;0.0;0.0
19;2002;1;1;18;-11.40;84.0;3.00;101.1;0.0;0.0;0.0
20;2002;1;1;19;-10.10;84.0;4.00;106.7;0.0;0.0;0.0
21;2002;1;1;20;-8.80;84.0;5.00;110.0;0.0;0.0;0.0
22;2002;1;1;21;-8.80;83.7;5.00;106.7;0.0;0.0;0.0
23;2002;1;1;22;-8.80;83.3;5.00;103.3;0.0;0.0;0.0
24;2002;1;1;23;-8.80;83.0;5.00;100.0;0.0;0.0;0.0
25;2002;1;2;0;-9.40;83.7;5.33;81.7;0.0;0.0;0.0
26;2002;1;2;1;-10.00;84.3;5.67;64.1;0.0;0.0;0.0
27;2002;1;2;2;-10.60;85.0;6.00;50.0;0.0;0.0;0.0
28;2002;1;2;3;-11.57;84.0;6.33;46.3;0.0;0.0;0.0
29;2002;1;2;4;-12.53;83.0;6.67;43.0;0.0;0.0;0.0
30;2002;1;2;5;-13.50;82.0;7.00;40.0;0.0;0.0;0.0
31;2002;1;2;6;-14.67;82.0;6.33;34.8;0.0;0.0;0.0
32;2002;1;2;7;-15.83;82.0;5.67;28.2;0.0;0.0;0.0
33;2002;1;2;8;-17.00;82.0;5.00;20.0;0.0;0.0;0.0
34;2002;1;2;9;-17.47;81.7;4.67;17.1;0.0;0.0;0.0
35;2002;1;2;10;-17.93;81.3;4.33;13.8;10.3;10.3;0.0
36;2002;1;2;11;-18.40;81.0;4.00;10.0;43.9;43.9;0.0
37;2002;1;2;12;-18.20;80.3;3.33;8.0;80.6;30.1;469.8
38;2002;1;2;13;-18.00;79.7;2.67;5.0;94.4;33.5;508.2
39;2002;1;2;14;-17.80;79.0;2.00;360.0;79.2;29.2;491.6
40;2002;1;2;15;-18.57;79.3;2.00;350.1;41.9;41.9;0.0
41;2002;1;2;16;-19.33;79.7;2.00;339.9;9.7;9.7;0.0
42;2002;1;2;17;-20.10;80.0;2.00;330.0;0.0;0.0;0.0
43;2002;1;2;18;-21.60;80.0;1.67;324.1;0.0;0.0;0.0
44;2002;1;2;19;-23.10;80.0;1.33;315.0;0.0;0.0;0.0
45;2002;1;2;20;-22.90;80.0;1.00;300.0;0.0;0.0;0.0
46;2002;1;2;21;-24.90;79.7;1.33;275.0;0.0;0.0;0.0
47;2002;1;2;22;-23.45;79.3;1.67;259.4;0.0;0.0;0.0
48;2002;1;2;23;-22.00;79.0;2.00;250.0;0.0;0.0;0.0
