#Ilmatieteen laitos, lokakuu 2020
STEP;YEAR;MON;DAY;HOUR;TEMP;RH;WS;WDIR;GHI;DHI;DNI
1;2002;1;1;0;-4.65;82.6;4.51;3.7;0.0;0.0;0.0
2;2002;1;1;1;-5.44;83.0;4.04;356.9;0.0;0.0;0.0
3;2002;1;1;2;-6.30;83.4;3.62;349.1;0.0;0.0;0.0
4;2002;1;1;3;-7.78;84.0;3.53;344.9;0.0;0.0;0.0
5;2002;1;1;4;-9.45;84.7;3.25;338.5;0.0;0.0;0.0
6;2002;1;1;5;-11.31;85.4;2.75;327.8;0.0;0.0;0.0
7;2002;1;1;6;-12.92;85.2;2.38;324.5;0.0;0.0;0.0
8;2002;1;1;7;-14.76;84.7;2.12;321.1;0.0;0.0;0.0
9;2002;1;1;8;-16.60;83.9;2.00;317.8;0.0;0.0;0.0
10;2002;1;1;9;-17.50;83.2;1.66;320.7;0.0;0.0;0.0
11;2002;1;1;10;-18.40;82.6;1.25;44.9;9.2;9.2;0.0
12;2002;1;1;11;-18.00;81.9;0.99;134.4;47.0;47.0;0.0
13;2002;1;1;12;-16.60;82.4;1.30;113.0;61.5;49.8;110.2
14;2002;1;1;13;-15.30;83.0;1.62;99.8;51.1;50.9;1.4
15;2002;1;1;14;-13.90;83.5;1.94;91.6;33.7;33.7;0.0
16;2002;1;1;15;-12.80;84.1;1.94;91.6;13.7;13.7;0.0
17;2002;1;1;16;-11.80;84.7;1.94;91.6;2.5;2.5;0.0
18;2002;1;1;17;-10.70;85.3;1.94;91.6;0.0;0.0;0.0
19;2002;1;1;18;-9.50;85.2;2.95;102.3;0.0;0.0;0.0
20;2002;1;1;19;-8.30;85.0;3.96;107.7;0.0;0.0;0.0
21;2002;1;1;20;-7.10;84.9;4.96;110.8;0.0;0.0;0.0
22;2002;1;1;21;-7.10;84.5;4.96;107.4;0.0;0.0;0.0
23;2002;1;1;22;-7.10;84.2;4.95;104.1;0.0;0.0;0.0
24;2002;1;1;23;-7.10;83.8;4.95;100.7;0.0;0.0;0.0
25;2002;1;2;0;-7.70;84.6;5.26;82.1;0.0;0.0;0.0
26;2002;1;2;1;-8.20;85.4;5.59;64.4;0.0;0.0;0.0
27;2002;1;2;2;-8.80;86.2;5.92;50.0;0.0;0.0;0.0
28;2002;1;2;3;-9.70;85.2;6.25;46.3;0.0;0.0;0.0
29;2002;1;2;4;-10.60;84.2;6.59;43.0;0.0;0.0;0.0
30;2002;1;2;5;-11.50;83.3;6.92;39.9;0.0;0.0;0.0
31;2002;1;2;6;-12.60;83.4;6.25;34.6;0.0;0.0;0.0
32;2002;1;2;7;-13.60;83.5;5.59;28.0;0.0;0.0;0.0
33;2002;1;2;8;-14.70;83.6;4.93;19.6;0.0;0.0;0.0
34;2002;1;2;9;-15.20;83.3;4.60;16.7;0.0;0.0;0.0
35;2002;1;2;10;-15.60;83.0;4.26;13.3;10.1;10.1;0.0
36;2002;1;2;11;-16.00;82.7;3.93;9.3;43.2;43.2;0.0
37;2002;1;2;12;-15.80;82.0;3.27;7.2;79.3;30.1;457.8
38;2002;1;2;13;-15.70;81.2;2.61;3.9;92.9;33.5;495.6
39;2002;1;2;14;-15.50;80.5;1.95;358.4;77.9;29.2;479.1
40;2002;1;2;15;-16.20;80.9;1.96;348.2;41.2;41.2;0.0
41;2002;1;2;16;-16.90;81.4;1.97;337.8;9.5;9.5;0.0
42;2002;1;2;17;-17.60;81.8;1.98;327.8;0.0;0.0;0.0
43;2002;1;2;18;-19.00;82.0;1.66;321.5;0.0;0.0;0.0
44;2002;1;2;19;-20.40;82.0;1.33;311.7;0.0;0.0;0.0
45;2002;1;2;20;-20.20;82.1;1.02;295.9;0.0;0.0;0.0
46;2002;1;2;21;-22.10;80.7;1.38;272.6;0.0;0.0;0.0
47;2002;1;2;22;-20.70;81.4;1.73;258.0;0.0;0.0;0.0
48;2002;1;2;23;-19.40;80.9;2.07;249.2;0.0;0.0;0.0
49;2002;1;3;0;-18.80;80.9;1.74;252.8;0.0;0.0;0.0
50;2002;1;3;1;-18.10;80.8;1.39;258.3;0.0;0.0;0.0
51;2002;1;3;2;-17.50;80.7;1.06;267.1;0.0;0.0;0.0
52;2002;1;3;3;-17.20;81.0;1.74;239.1;0.0;0.0;0.0
53;2002;1;3;4;-16.90;81.4;2.41;226.6;0.0;0.0;0.0
54;2002;1;3;5;-16.60;81.7;3.07;220.2;0.0;0.0;0.0
55;2002;1;3;6;-14.40;83.2;3.07;223.4;0.0;0.0;0.0
56;2002;1;3;7;-12.10;84.8;3.07;226.7;0.0;0.0;0.0
57;2002;1;3;8;-9.90;86.3;3.07;229.9;0.0;0.0;0.0
58;2002;1;3;9;-8.20;84.7;4.74;235.6;0.0;0.0;0.0
59;2002;1;3;10;-6.50;83.0;6.40;238.3;10.9;10.9;0.0
60;2002;1;3;11;-4.90;81.4;8.07;239.9;28.7;28.7;0.0
61;2002;1;3;12;-4.00;81.6;8.07;243.2;40.0;39.4;5.1
62;2002;1;3;13;-3.20;81.9;8.07;246.5;42.6;42.6;0.0
63;2002;1;3;14;-2.40;82.1;8.06;249.8;35.5;35.5;0.0
64;2002;1;3;15;-2.00;83.2;7.74;246.8;16.9;16.9;0.0
65;2002;1;3;16;-1.60;84.2;7.40;243.5;3.1;3.1;0.0
66;2002;1;3;17;-1.20;85.2;7.07;239.9;0.0;0.0;0.0
67;2002;1;3;18;-1.40;85.9;7.07;243.1;0.0;0.0;0.0
68;2002;1;3;19;-1.50;86.7;7.07;246.5;0.0;0.0;0.0
69;2002;1;3;20;-1.60;87.4;7.06;249.8;0.0;0.0;0.0
70;2002;1;3;21;-1.70;87.8;7.06;249.8;0.0;0.0;0.0
71;2002;1;3;22;-1.70;88.1;7.06;249.8;0.0;0.0;0.0
72;2002;1;3;23;-1.80;88.5;7.06;249.8;0.0;0.0;0.0
73;2002;1;4;0;-1.50;88.4;6.73;252.7;0.0;0.0;0.0
74;2002;1;4;1;-1.20;88.4;6.39;256.0;0.0;0.0;0.0
